%eval_id interface x1             x2             obj_fn         
1        NO_ID      0.8403173375   -0.8141135308  -0.1384933824  
2        NO_ID      1.803880082    0.6210816751   -0.04765151225 
3        NO_ID      -1.915353447   1.752511447    0.1170609497   
4        NO_ID      0.598750281    -0.4155001896  0.3287108618   
5        NO_ID      -0.9900578295  -1.401842319   -0.1443066182  
6        NO_ID      -0.02218810935 0.8908144967   0.1198494086   
7        NO_ID      1.131331606    -1.083168216   -0.1988425287  
8        NO_ID      1.99998871     -1.773374655   0.1019292614   
9        NO_ID      -1.99998871    -1.019921308   0.09868119385  
10       NO_ID      0.1177327304   -1.084319802   -0.08203094867 
11       NO_ID      1.999996237    -0.9241966653  0.08609421522  
12       NO_ID      -0.09917187421 -1.99998871    0.001221483816 
13       NO_ID      0.4580828352   1.99998871     0.02512473266  
14       NO_ID      0.8528058618   -1.01445692    -0.2049031184  
15       NO_ID      -1.999998746   -1.999998746   0.05776581438  
16       NO_ID      -0.127487341   -1.51006791    -0.2097974949  
17       NO_ID      0.6932547545   -1.391048113   -0.201838315   
18       NO_ID      -0.7876848041  -1.621839489   -0.1024193594  
19       NO_ID      0.09605581805  -1.419047458   -0.2171647337  
20       NO_ID      1.999998746    1.999998746    0.05776581438  
21       NO_ID      0.2623809604   -1.482497587   -0.2113940991  
22       NO_ID      0.6883774492   0.3778556792   0.2531830773   
23       NO_ID      1.99996613     1.054717269    0.1029382396   
24       NO_ID      -0.06787583194 1.485342682    -0.2138957661  
25       NO_ID      0.5123880167   1.486629748    -0.1972074764  
26       NO_ID      0.0990363935   1.597723924    -0.1889600944  
27       NO_ID      0.1587833833   1.441492094    -0.216812525   
28       NO_ID      -1.99998871    1.079329596    0.1058272188   
29       NO_ID      0.1251239554   1.477153626    -0.21439322    
30       NO_ID      -0.8529363247  1.999998746    0.07621026797  
31       NO_ID      -0.3111991736  1.342704082    -0.2142685504  
32       NO_ID      -0.07494340858 1.399289855    -0.2163201836  
33       NO_ID      1.542718759    -0.2204948433  -0.2008271339  
34       NO_ID      -0.9323781944  1.333062372    -0.1803558222  
35       NO_ID      1.176988603    0.8625378923   -0.2163503127  
36       NO_ID      -1.606868872   -0.07722400041 -0.1864345673  
37       NO_ID      -1.349320056   -0.6136598418  -0.214407546   
38       NO_ID      1.392606141    0.3184022309   -0.2172303245  
39       NO_ID      -1.332791411   0.5022947044   -0.217194983   
40       NO_ID      -1.399064054   0.001535447961 -0.2161732622  
41       NO_ID      -1.424805388   0.2859546027   -0.2166766075  
42       NO_ID      -0.9804738438  -1.007028061   -0.2165671467  
43       NO_ID      1.339204164    -0.4982754436  -0.2172315263  
44       NO_ID      -0.6108373272  -1.291243995   -0.2172299191  
45       NO_ID      1.421711912    -0.08639152794 -0.2171954138  
46       NO_ID      0.5500064918   -1.316872428   -0.2172227673  
47       NO_ID      0.8402738968   1.152647236    -0.2172174356  
48       NO_ID      -1.022698663   1.000683049    -0.2172333215  
49       NO_ID      -1.2266197     0.7622370122   -0.2170289168  
50       NO_ID      -1.295082615   -0.5925022721  -0.21719345    
51       NO_ID      1.260610303    0.6686273735   -0.2172216398  
52       NO_ID      1.144533448    -0.857404679   -0.217233573   
53       NO_ID      -1.172615587   -0.8203958671  -0.2172329188  
54       NO_ID      -0.686924795   1.255913639    -0.2172320835  
55       NO_ID      -0.8543563632  -1.150607499   -0.2172251164  
56       NO_ID      0.8906576647   -1.119657685   -0.2172334533  
